what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495109475142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495109488089
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1495109494282
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495109497900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495109507447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495109576722
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1495109580232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495109583711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495151926101
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495151928394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495151933652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495151937130
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1495151945991
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495151946194
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1495151973681
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495151973681
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495151973728
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495151973791
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495151973884
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495151973931
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495151975990
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495151976068
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1495152055113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495152059325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495152088856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495152093053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495152096656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495152104051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495152114394
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495152114565
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495152114643
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1495152181599
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1495152181661
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1495152182925
